Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16
Artiodactyla,Bovidae,Aepyceros_melampus,Bos/Aepyceros,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Alcelaphus_buselaphus,Bos/Alcelaphus,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Ammotragus_lervia,Bos/Ammotragus,,,1196.6,1427.7,1580.8,2131.1,,,2883.4,,,3033.4
Artiodactyla,Bovidae,Antidorcas_marsupialis,Bos/Antidorcas,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Bubalus_bubalis,Bos/Bubalus,1105.6,1192.6,1208.6,1455.7,1580.8,2131.1,1648.8,2792.4,2853.4,2869.4,3059.4,3075.4
Artiodactyla,Bovidae,Connochaetes_taurinus,Bos/Connochaetes,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Damaliscus_hunteri,Bos/Damaliscus,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Damaliscus_lunatus,Bos/Damaliscus,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Eudorcas_thomsonii,Bos/Eudorcas,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Hippotragus_equinus,Hippotragus,1105.6,1180.6,1196.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Hippotragus_niger,Hippotragus,1105.6,1180.6,1196.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Kobus_ellipsiprymnus,Kobus,1105.6,1150.6,1166.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Kobus_kob,Kobus,1105.6,1150.6,1166.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Madoqua_kirkii,Madoqua,1105.6,1166.6,1182.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Nanger_granti,Nanger,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Neotragus_moschatus,Neotragus,1105.6,1180.6,1196.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
